날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-08-12 02,서울 강남구 ,강남구,111261,0.005,0.3,0.006,0.022,43,29
2016-08-12 03,서울 강남구 ,강남구,111261,0.003,0.3,0.008,0.019,38,30
2016-08-12 04,서울 강남구 ,강남구,111261,0.004,0.4,0.005,0.021,41,32
2016-08-12 05,서울 강남구 ,강남구,111261,0.004,0.4,0.002,0.025,38,22
2016-08-12 06,서울 강남구 ,강남구,111261,0.005,0.4,0.002,0.025,40,25
2016-08-12 07,서울 강남구 ,강남구,111261,0.004,0.5,0.002,0.025,40,27
2016-08-12 08,서울 강남구 ,강남구,111261,0.005,0.5,0.004,0.028,37,27
2016-08-12 09,서울 강남구 ,강남구,111261,0.004,0.5,0.005,0.032,37,33
2016-08-12 10,서울 강남구 ,강남구,111261,0.004,0.5,0.008,0.035,59,37
2016-08-12 11,서울 강남구 ,강남구,111261,0.004,0.4,0.02,0.034,49,34
2016-08-12 12,서울 강남구 ,강남구,111261,0.004,0.4,0.031,0.029,45,31
2016-08-12 13,서울 강남구 ,강남구,111261,0.004,0.3,0.045,0.025,38,32
2016-08-12 14,서울 강남구 ,강남구,111261,0.005,0.3,0.063,0.025,42,24
2016-08-12 15,서울 강남구 ,강남구,111261,0.004,0.4,0.079,0.024,52,39
2016-08-12 16,서울 강남구 ,강남구,111261,0.004,0.3,0.071,0.03,56,43
2016-08-12 17,서울 강남구 ,강남구,111261,0.004,0.3,0.064,0.029,67,41
2016-08-12 18,서울 강남구 ,강남구,111261,0.005,0.3,0.056,0.032,64,44
2016-08-12 19,서울 강남구 ,강남구,111261,0.004,0.3,0.03,0.032,68,36
2016-08-12 20,서울 강남구 ,강남구,111261,0.005,0.3,0.017,0.039,63,35
2016-08-12 21,서울 강남구 ,강남구,111261,0.004,0.4,0.002,0.043,54,41
2016-08-12 22,서울 강남구 ,강남구,111261,0.005,0.3,0.004,0.029,49,32
2016-08-12 23,서울 강남구 ,강남구,111261,0.004,0.3,0.003,0.025,46,30
2016-08-12 24,서울 강남구 ,강남구,111261,0.004,0.3,0.003,0.025,45,32
2016-08-13 01,서울 강남구 ,강남구,111261,0.004,0.3,0.004,0.022,40,27
